query,date,age,gender
uk_foreign_aid_by_destination,20210612,55-64,Male
travel_fx_holiday_money,20211110,65+,Male
leftover_currency,20210524,45-54,Male
when_gifted_money_become_assets,20211124,35-44,Female
cleopatra_apartments_kardamena,20210307,65+,Male
travel_fx,20211018,65+,Male
buy_foreign_currency_for_travel,20211124,65+,Male
if_i_exchange_before_30th_june_can_i_complete_after_and_get_the_stamp_duty_holiday,20210616,45-54,Female
post_office_travel_money_card_change_of_address_online,20210203,55-64,Male
travel_fx,20211001,65+,Male
travel_monies_exchange_rates,20211010,65+,Male
wwwlancashiregovuk,20210702,45-54,Male
dose_the_dss_give_money_for_a_holiday,20211010,NULL,Female
how_much_cash_can_you_take_to_thailand_from_the_uk,20211113,65+,Male
currency_exchange_rates,20210214,65+,Male
travel_money,20210826,65+,Male
holiday_parks_in_lancashire,20210615,55-64,NULL
gbp_exchange_rate,20211208,35-44,Female
language_exchange_free_talk,20210730,NULL,Male
pip_entitlements,20210803,55-64,Male
travel_fx_exchange_rates,20210715,35-44,Female
pakistan_forex_exchange_rates,20210306,55-64,Male
do_not_carry_all_your_money_with_you,20210609,55-64,Male
paying_someone_in_another_country,20210403,55-64,Male
travel_money,20210706,55-64,Male
lake_side_glamping_lancashire_uk,20210831,35-44,Female
money_exchange,20210730,35-44,Male
travel_money_buy_back,20210803,55-64,Female
foreign_currency,20211221,45-54,NULL
remit,20210816,NULL,Male
currency_converter_calculator,20210417,65+,Male
do_you_need_to_complete_or_exchange_by_the_30th_of_june,20210614,65+,Female
holiday_currency_with_amex,20211223,15-24,NULL
best_travel_insurance,20211009,45-54,Male
best_bank_currency_exchange_rates,20210818,55-64,Female
can_i_use_gcash_international,20211020,35-44,Female
red_kite_sightings,20210503,65+,Male
what_happens_if_you_use_your_holiday_let_personally_vat_reclaim,20220126,55-64,Male
c_o_g_travell_money_exchange,20210927,65+,NULL
currency_rates_of_exchange,20210822,65+,Male
how_to_get_a_refund_from_travel_agents,20210418,55-64,Female
manipet_nigeria_limited_foreign_exchange,20210905,35-44,Male
travel_money,20220115,55-64,Male
can_you_write_cheques_in_foren_cerincy,20210324,45-54,NULL
exchange_rate_pound_to_euro,20210505,65+,NULL
foreign_currency_exchange_rate_calculator,20210607,55-64,Male
travel_money,20210926,65+,Female
currency_rates_today,20220102,NULL,Female
travel_exchange_rate,20210901,65+,Male
we_buy_loose_currency,20210816,65+,Female
exchange_rates_for,20210330,65+,Male
lancashire_holiday_cottages,20210317,65+,Female
foirein_currency_converter,20211011,65+,Female
tourist_exchange_rates,20210930,65+,Male
currency_calculator,20211221,65+,Male
halfterm_lancaster,20211130,55-64,Female
lancashire_county_council_bus_pass,20211122,65+,Male
pound_forecast,20210208,55-64,Female
compare_currency_exchange_rates,20211101,65+,Male
holiday_money,20220110,65+,Male
travel_exchange_rates,20210429,65+,NULL
currency_for_maldives,20210224,65+,Male
holiday_cottages_in_lancashire,20210706,65+,Female
ac_fx,20210303,65+,Female
foreign_exchange_rate_in_pakistan,20210418,45-54,Male
lancashire_county_council_school_holidays,20211009,65+,Female
mse_travel_money,20210920,65+,Male
sainsbury_foreign_currency,20211021,55-64,Female
best_currency_exchange_rates,20211116,65+,Female
travel_money,20210715,65+,Male
travel_money,20211224,55-64,Male
ramsdens_currency_exchange,20211103,55-64,Male
travel_money,20220120,45-54,Male
truss_private_jet,20220128,45-54,Male
bugle_inn,20210906,55-64,Male
how_do_you_get_a_refund_from_travel_companies,20210427,55-64,Female
travel_money,20211123,45-54,Female
travel_money_comparison,20211211,NULL,Female
tui_travel_money,20210831,35-44,Female
left_over_currency,20210717,45-54,Male
police_helicopter_over_walton_summit_23_july,20210724,55-64,Female
virgin_money_travel_insuarance,20210606,NULL,Female
wwwpostofficecouktravelmoneycurrencyconverter,20210621,65+,Male
starling_card,20211213,NULL,Male
asda_birmingham,20210702,35-44,Female
cumbria_bird_sightings,20210528,65+,Male
foreign_currency,20211021,55-64,Female
left_over_currency,20210518,45-54,Male
self_catering_parbold,20211107,NULL,Female
tracer_remittance_dbs,20211207,35-44,Female
uk_foreign_aid_budget,20210607,65+,Male
barn_conversion_near_forton,20210304,45-54,Female
best_exchange_rates,20211219,NULL,Male
how_much_foreign_aid_does_the_uk_give_china_and_india,20210728,65+,Male
sainsbury_travel_money_exchange_rates,20210531,45-54,Female
tourist_exchange_rates,20210720,65+,Male
travel_fx,20210420,45-54,Male
best_currency_exchange_rates,20210913,35-44,Female
currency_exchange,20220117,NULL,Female
travel_fx_exchange_rates,20210828,65+,Male
bus_pass_lancaster,20211022,65+,Male
travel_money_exchange,20210618,65+,Male
haystravelcancelationpolicy,20210212,65+,Female
travelmoneymax,20211208,NULL,Male
what_is_the_best_travel_money_card,20220101,65+,Female
currency_exchange_rates,20211029,NULL,Female
where_can_i_exchange_foriegn_currency_in_uk,20220115,45-54,Female
best_exchange_rate_for_lira,20211010,55-64,Male
travel_money,20210607,55-64,Male
what_is_385_000_french_franks_worth_iin_sterling_in_1990_1,20211001,65+,Male
travel_currency_rates,20211122,NULL,NULL
why_did_the_uk_not_send_aid_to_greece_to_help_with_the_fires,20210807,45-54,Female
travel_fx,20211015,65+,Male
travel_money,20220114,55-64,Male
bank_euro_cards,20210922,65+,Male
best_currency_exchange_rates,20211117,65+,Female
hays_travel_exchange_rates,20210614,NULL,Male
leftover_currency,20210212,NULL,Male
travel_money,20211214,65+,Female
m_and_s_money,20210302,55-64,NULL
ramsdens_travel_money,20210928,65+,Male
travel_money_exchange,20211010,55-64,Male
lancashire_school_holidays,20211103,45-54,Female
cheap_exchange_rates,20211202,25-34,Male
cash_out_holiday_pay_uk,20210420,45-54,Female
travel_fx,20210510,65+,Male
can_you_cash_in_coins_at_any_bank_without_an_account_uk,20210402,45-54,Female
crossword_super_foreign_prizemoney,20211219,65+,Female
holiday_cottages_in_cleveleys,20210613,65+,Female
travel_money_exchange,20210416,55-64,Male
compare_travel_money_exchange_rates,20211129,NULL,NULL
pound_to_euro_hays_travel,20210326,65+,Male
travel_fx_ltd,20210429,65+,Male
which_countries_does_britain_give_foreign_aid_to,20210606,NULL,Male
travel_currency_comparison,20211119,65+,Male
travel_money,20211117,NULL,Female
currency_exchange_rates,20210914,45-54,Male
lancashire_county_council_school_holiday_dates,20211115,NULL,Female
travel_fx_holiday_money,20210920,65+,Male
acefx_currency_exchange,20210923,65+,Female
asda_leeds,20211121,35-44,Female
cottage_holiday_lancashire,20210912,45-54,Male
exchange_rate,20211118,65+,Male
thomas_cook_travel_money_exchange_rates,20210903,65+,Female
travel_money,20211230,NULL,NULL
rational_foreign_exchange_compnay_house,20211123,NULL,Male
best_tourist_currency_rates,20210301,45-54,Male
example_of_travel_money_advisor_cv,20210914,NULL,NULL
foreign_exchange_rates,20211124,65+,Female
monso_prepaid_card,20210305,45-54,Male
travel_fx,20210603,65+,Male
can_unemployed_get_a_free_bus_pass,20210513,45-54,NULL
hays_travel_money_caed,20211201,65+,Male
holiday_lancastershire,20210308,65+,Female
travel_fx_holiday_money,20210906,65+,NULL
sterling_card,20210208,45-54,Male
foreign_money_you_no_longer_earn_finally_crossword_clue,20220130,65+,NULL
pound_exchange_euro,20210222,65+,Male
tourist_exchange_rates,20210427,65+,Male
bank_revaluation_xero,20210817,45-54,Female
holiday_euros_best_deals,20210715,65+,Male
lancashire_school_holidays,20210831,35-44,Female
sky_news_exchange_rates,20211021,65+,NULL
travel_money,20210314,55-64,Male
can_i_cash_in_thomas_cook_travellers_cheques,20211023,65+,Male
travelmoneymaxcom,20211117,65+,Female
uk_aid_to_israel,20210722,65+,Male
i_have_a_building_society_draft_can_i_pay_it_into_my_irish_bank,20210621,55-64,Female
richest_country_foreign_reserves,20210503,NULL,Male
travelscopop,20220130,55-64,Female
western_union,20210316,45-54,Male
when_do_the_kids_go_back_to_school_in_lancashire,20210820,65+,Female
which_asda_os_the_most_biggest_in_bristol,20210619,35-44,Female
leftover_currency_exchange,20210820,65+,Male
travel_fx,20210602,65+,Male
travel_money_eastbourne,20210730,65+,Male
how_long_has_torfx_been_doing_foreign_exchange_rates,20210619,65+,Male
no1_currency_exchange_rates_today,20210626,65+,Female
thomas_cook_eu_cash_passport,20211105,45-54,Male
best_camera_compact,20210831,65+,Male
compare_holiday_currency,20210817,65+,Male
cottages_lancashire,20210609,65+,Male
do_i_need_topay_tax_in_uk_on_bank_transfers_from_my_own_bank_account_in_us,20210325,NULL,Male
exchange_rate_comparison,20210704,NULL,Female
flashstake,20210717,35-44,Male
dog_friendly_caravan_breaks_in_lancashire,20210923,65+,Male
pakistan_forex_exchange_rates,20210307,55-64,Male
snp_useless_jan2022,20220104,NULL,Female
travel_money,20210908,45-54,Male
travel_money,20211118,65+,NULL
travel_money_exchange_rates,20210712,35-44,Female
best_currency_exchange_companies,20220126,55-64,Male
compare_holiday_money,20210703,NULL,Male
lost_senior_bus_pass_lancashire,20211130,NULL,NULL
refund_of_deposit_if_tour_operator_cancels_holiday,20210719,65+,Female
travel_fx_holiday_money,20210819,65+,Male
erdogan_in_trouble_in_turkey,20220113,65+,Male
foren_exchange,20211011,45-54,Male
what_days_are_exchange_rate_at_their_best,20210819,45-54,Female
how_do_i_cash_a_foreign_check,20210527,65+,Female
if_i_have_to_cancell_holiday_on_medical_ground_will_i_get_my_full_payment_back_from_booking_com,20210924,65+,Male
tesco_travel_money,20211031,55-64,Female
travel_testing_for_covid_19_in_preston_lancashire,20210620,25-34,Male
post_office_currency_buy_back,20211224,55-64,Male
starlings_bank_cash_withdrawals_overseas,20211214,65+,Female
top_travel_insurance_providers,20211014,65+,Male
best_online_travel_money_rates,20211107,65+,Male
revolut_currency_exchange_rates,20211014,65+,Male
starling_prepaid_card,20210604,45-54,Female
travel_money,20211103,65+,NULL
citra_hops,20210508,45-54,Male
currency_exchange_rates,20210725,NULL,Male
foreign_exchange_rates,20210625,65+,Male
itc_forex_bureau_de_change,20210518,35-44,Male
wigan_today,20210610,65+,Female
lancashire_holiday_cottages,20210324,45-54,Female
travel_fx,20210908,65+,Male
travel_money_exchange,20210426,55-64,Male
best_euro_exchange_rate,20211119,55-64,Male
school_terms_preston,20211212,65+,Male
dvla_exchange_foreign_licence,20210824,25-34,NULL
ramsdens_travel_money,20211207,NULL,Male
travel_fx,20210610,65+,Male
hong_kong_dollar_exchange_rate_to_pound,20210615,35-44,Female
oyster_card_save_money,20210806,25-34,Male
currency_exchange_rates,20211009,65+,Male
exchange_rate_hkd_to_gbp,20210418,55-64,NULL
travel_money_debit_cards,20211106,65+,Male
value_for_money_holidays_uk,20210801,45-54,Male
glamping_lancaster_uk,20210526,45-54,Female
john_lewis_fiance_euro_to_pound_exchange_rate,20210906,65+,Male
pound_versus_euro,20210216,65+,Male
travel_fx,20211004,65+,Male
currency_exchange_rates,20211116,65+,Male
is_hayes_travel_agents_on_the_stock_exchange,20210827,65+,Female
left_over_currency,20210719,45-54,Male
money_converter,20211208,45-54,Female
stamp_duty_holiday_on_flat_purchase_uk_before_june_30th,20210416,65+,Female
travel_money,20211112,NULL,Female
can_i_deposit_dollars_into_my_bank_account_santander,20210623,45-54,NULL
go_compare_holidays,20211206,NULL,Male
hmrc_self_assessment_forms_s106_foreign,20210429,65+,Male
holidays_for_sex,20210202,55-64,Male
john_lewis_travel_money_rates,20210910,65+,Male
what_is_uk_government_foreign_aid_spent_on,20210609,65+,Female
is_stamp_duty_due_when_exchange_contracts_or_completion,20210413,55-64,Female
best_foreign_exchange_rates,20220118,65+,Female
how_many_spanish_pasatas_to_pound,20211229,35-44,Female
french_government_travel_guidelines,20210522,65+,Female
travel_fx_ltd,20210526,45-54,Female
travel_money_comparison,20211026,45-54,Female
barack_obama,20210219,65+,Female
eligible_age_for_bus_passes_in_lancashire,20211210,55-64,Female
lancashire_school_holidays_2022,20220121,65+,Male
tesco_travel_money,20210712,NULL,Female
travel_fx_holiday_money,20210831,65+,Female
simon_calder,20220125,NULL,Female
travel_fx_holiday_money,20211009,55-64,Female
travel_money,20211018,65+,Male
travel_money_comparison,20210811,NULL,Female
travel_money_exchange,20210930,65+,Male
travel_money_maximizer,20210904,65+,Male
what_is_the_best_prepaid_travel_cards,20210926,45-54,Male
applying_for_a_bus_pass_for_west_lancs_council,20210929,65+,Male
euro_exchange_rate,20210329,55-64,Male
strand_road_accident_reports,20210625,55-64,Male
tfx_travel_money,20210918,55-64,Male
pound_euro_forecast_this_week,20210220,55-64,Male
ramsdens_currency_exchange,20220111,65+,Male
euro_currency,20210610,65+,NULL
travel_fx_holiday_money,20210912,55-64,Female
travel_money_exchange_rates_tesco,20210427,55-64,Male
bdo_currency_exchange_rate,20211022,35-44,Male
tourist_exchange_rates,20211122,65+,Male
changing_currency_compare,20220116,NULL,NULL
exchange_rate_today,20210204,55-64,Male
post_office_travel_money,20210922,65+,Female
revolut_international_transfer_exchange_rate,20210614,45-54,Female
best_currency_exchange_rates,20210721,65+,Male
currency_exchange_rates,20210328,65+,Male
currency_exchange_rates,20211228,65+,Male
grants_for_non_business_rate_payers_with_holiday_accommodation,20210219,65+,Female
holiday_currency_exchange_rates_uk_collection,20210930,55-64,Male
retreat_centre_scotland,20210809,35-44,Male
a59_closed_clitheroe,20210304,55-64,Male
leading_and_lagging_acca_f9,20211103,55-64,NULL
travel_money_buyback,20210804,55-64,Female
curency_rates,20211223,65+,Male
ecb_fx_rate,20210721,45-54,Male
fedex_foreign_currency,20211109,65+,Male
leftover_currency_exchange,20220131,65+,Male
travel_fx_holiday_money,20210302,65+,Female
charlecote_pheasant_hotel_telephone_no_search,20210312,65+,Male
cottages4you,20211024,65+,Male
foreign_money_exchange,20210315,65+,Male
travel_fx,20210929,65+,Male
buy_foreign_currency_online,20210922,NULL,Male
money_saving_expert,20211020,65+,Male
ss_lancashire_bibby_line,20210315,45-54,NULL
covid_cases_in_my_area,20210609,65+,Female
do_i_need_my_passport_to_get_us_dollars_in_uk,20211116,65+,Male
donate_eft_over_foreign_currency_to_tearfund,20211124,65+,Male
ms_foreign_currency_exchange_rates,20210327,NULL,Male
tfx_travel_money,20210928,65+,NULL
travel_fx_holiday_money,20210328,45-54,Male
travel_money,20210909,55-64,Male
google_travel_lancashire_england,20211109,65+,Male
buy_euros_at_barclays,20210618,65+,Male
citicorp_echange_foreign_currency,20211203,65+,Female
compare_foreign_currency_exchange_rates,20211110,65+,Male
does_the_uk_give_foreign_aid_to_belarusian,20210524,65+,Male
can_you_send_a_cheque_from_uk_to_usa,20210506,65+,Male
money_what_are_your_holiday_cancellation_rights,20210725,65+,Male
mse_travel_money,20220109,55-64,Male
travel_money_exchange,20220128,55-64,Male
what_is_the_currency_for_san_juan,20210922,55-64,Female
where_does_uk_foreign_aid_go,20210412,55-64,Male
best_holiday_exchange_rates,20211004,NULL,Female
mse_travel_money,20210430,55-64,Male
travel_fx,20210914,55-64,Female
post_office_money_travel_card_can_you_get_euro_back_if_in_euro_in_uk_today,20220114,65+,Male
best_foreign_currency_exchange,20220106,55-64,Male
foreign_currency,20211027,65+,Female
travel_camera_with_good_sensor,20210522,65+,Male
lancaster_education_term_times,20210421,65+,Female
travelmoneymax,20211119,NULL,Male
what_fee_doews_rbs_charge_to_reciene_money_from_oversea,20211009,55-64,Female
comparetravelcash,20211124,45-54,Male
holiday_money_compare,20210804,65+,Female
mse_travel_money,20210610,45-54,Male
replacement_senior_bus_pass_lancashire_county_council,20210821,45-54,Female
dollars_to_pounds_post_office,20220104,45-54,Female
euro_exchange_comparison,20210910,65+,Female
foreign_exchange_rates,20210308,65+,Female
money4travel,20210726,65+,Male
natwest_exchange_rates,20210822,55-64,Male
travel_money_buy_back,20210727,55-64,Female
currency_cards,20220105,55-64,Female
foreign_currency_exchange,20211221,45-54,Male
travel_money,20210811,55-64,Male
caxton_fx_exchange_rates,20210817,65+,Female
euros_340_in_from_the_halifax,20210302,65+,Male
holiday_cottage_old_hollow_farm_old_hollow_lane_banks_lancashire_pr9_8du,20210620,65+,Male
ramsdens_currency_exchange,20210828,55-64,Male
travel_fx_exchange_rates,20210806,55-64,Male
travel_money,20211208,55-64,Male
buyback_rates_for_euros,20211109,65+,Male
exchange_rates,20210401,65+,Male
gb_pound_rates_forecast,20211226,55-64,Male
wrightsure_holiday_travel_insurance_what_happens_if_i_have_to_cancel,20220109,65+,Female
pound_forecast,20210218,65+,Female
travel_money_maximiser,20210906,65+,Male
chaos_at_preston_station,20211011,55-64,Female
lancashire_cottages_holiday,20210923,65+,Female
sad_view,20210616,15-24,NULL
tameside_news,20210608,55-64,Female
alert_for_dbs_exchange_rate,20210822,45-54,Female
post_office_travel_money_card,20210820,65+,NULL
currency_exchange_rates,20210301,35-44,Male
best_bureau_de_change_rates,20210505,65+,Male
blackpool_holidays,20210820,65+,Female
how_can_under_18s_spend_money_abroad,20211113,45-54,Female
lancashire_school_term_dates,20210304,45-54,Female
best_euro_exchange_rates,20210722,NULL,Female
currency_exchange_rates,20211212,65+,Male
john_lewis_currency_exchange,20210228,65+,Male
what_benefits_am_i_entitled_to_when_i_get_pip,20210404,45-54,Male
ba_profits,20210621,35-44,Male
compare_holiday_exchange_rates,20220111,NULL,Male
sell_travel_money,20210512,45-54,Male
sending_money_online,20211224,15-24,Male
tourist_exchange_rates,20211110,65+,Male
andrey_kukushkin,20211024,45-54,Female
pakistan_forex_exchange_rates,20210220,55-64,Male
uk_money_gift_from_abroad_siteforumsmoneysavingexpertcom,20210907,65+,Female
what_are_the_pounds_forecast,20211230,55-64,Female
exchange_rates,20210207,45-54,Male
hmrc_spouse_living_overseas,20210405,65+,Male
burnley_college_term_dates_2223,20220117,NULL,Female
currency_exchange_rates,20210811,65+,Female
tfx,20210801,65+,Male
travel_money,20210911,55-64,Male
travelmoneymax,20211028,45-54,Male
currency_exchange_rates,20210724,55-64,Male
exchange_rates,20210829,NULL,Male
foreign_exchange_rates,20210823,35-44,Male
simon_calder,20220126,NULL,NULL
thescottishsuncouk,20210703,65+,Male
travel_money,20211224,45-54,Male
crossword_traveller_andrew_has_money_in_cape_town,20210718,65+,Female
downing_street_briefing_suite,20210317,55-64,Female
todays_best_euro_exchange_rate,20210827,65+,Male
travel_money,20210623,NULL,Female
holiday_cottages_for_2_whalley,20211224,65+,Female
dales_bottom_holiday_cottages,20210808,55-64,Male
post_office_travel_money_card,20220126,65+,Female
travel_money,20211011,65+,Male
travel_money_maximiser,20211019,65+,Male
uk_need_to_show_photo_when_changing_over_cash,20210706,NULL,Male
exchange_rates,20210726,65+,Male
fx_travel_money,20210511,NULL,NULL
tourist_exchange_rates,20210810,65+,Male
asda_holiday_money_exchange_rates,20220120,45-54,Male
exchange_foreign_driving_licience_uk,20210925,15-24,Male
foreign_currency,20211223,45-54,Male
lancashire_school_holidays_2021,20211002,65+,Female
money4travel,20210716,65+,Female
travellers_cheques,20210522,65+,Male
try_exchange_rates,20210413,45-54,Male
travel_fx,20210622,65+,Male
foreign_currency,20211028,45-54,Female
mse_travel_money,20210318,55-64,Male
pound_to_euro_exchange_rate,20210524,65+,Female
sainsbury_foreign_currency,20211202,65+,Female
sainsbury_travel_money_exchange_rates,20211217,65+,Female
travelfx,20210727,65+,Male
travel_money,20210531,45-54,Male
best_overseas_currency_rates,20210512,65+,Male
travel_fx_euro_rate_today,20211013,45-54,Male
travel_money,20210412,55-64,Male
foreign_currency_exchange_rates,20210921,65+,Male
travelmoneymax,20211102,NULL,Male
best_foreign_exchange_rates,20210416,65+,Male
iraqi_dinar_exchange_rate,20210302,NULL,Male
travelfx,20210405,65+,Male
western_union,20210828,35-44,Male
where_to_get_your_forecign_exchange,20220108,45-54,Female
leftovercurrency,20211115,45-54,Male
pound_to_euro,20210326,65+,Male
flights,20211216,NULL,Male
how_much_does_the_post_office_charge_for_exchange_money,20211211,55-64,Female
liz_truss,20220127,65+,NULL
official_currency_exchange_rates,20210701,65+,Male
global_exchange_rate_tables,20210601,65+,Male
lancashire_county_council_school_holidays,20210904,55-64,Female
travel_money,20211229,55-64,Male
travel_currency,20210909,35-44,Female
travel_fx,20210824,65+,Male
which_countries_does_the_uk_give_financial_aid_to,20210502,65+,Female
left_over_currency,20220129,45-54,Male
part_way_through_selling_my_house_havent_exchanged_will_stamp_duty_apply,20210629,55-64,NULL
american_express_euro_exchange_rates,20211111,65+,Male
currency_exchange_rates_euro_to_sterling_exchange_rate,20210414,15-24,Female
international_currency_cards_reviews,20211117,55-64,Male
starling_card,20210711,65+,Male
traffic_incident_m6_preston_today,20210510,65+,Female
travelfx,20210614,35-44,Female
credit_agricole_britline_international_payments_service,20211116,NULL,NULL
holiday_cottage_morecambe,20210408,65+,Female
is_pound_getting_stronger_against_rupee_indian,20220110,NULL,NULL
travel_money,20210224,55-64,Male
which_is_the_best_travel_insurance,20210721,45-54,Female
article_review_in_ethiopia_on_financial_management_of_foreign_currency,20220111,35-44,Male
foreign_money_saving,20210829,NULL,Male
gbp_exchange_rate_trend,20210621,45-54,Female
what_countries_does_the_uk_give_aid_to,20210524,65+,Male
holiday_exchange_rates_calculator,20210304,65+,Male
john_lewis_travel_money_rates,20220129,65+,Male
pound_to_turkish_lira,20211201,35-44,Male
sgd2000hkd,20210726,35-44,Male
travel_fx,20210715,65+,Male
travelfx,20210607,65+,Male
do_they_pay_taxi_fare_in_personal_budget,20211122,45-54,Female
does_ofx_have_to_report_large_sums_of_money_transfers_to_austrac,20210620,65+,Male
euro_exchange_comparison,20210603,35-44,Male
travel_fx,20210617,55-64,Female
travel_money_exchange,20210413,55-64,Male
best_foreign_exchange_rates,20210802,65+,Male
holiday_money_comparison,20211129,65+,Male
travel_exchange_rates,20220130,55-64,Male
travel_fx,20210727,65+,Male
wwwnowcardorg,20211224,65+,Female
best_fx_cash_cards,20210826,55-64,Male
is_the_pound_likely_to_rise_against_the_euro_in_2021,20210620,55-64,Female
travel_fx,20210211,55-64,Male
can_i_travel_to_lancashire,20210601,45-54,Male
money_gift_from_monaco_to_uk_money,20210907,65+,Female
transferring_money_into_us,20220106,35-44,Male
travelmoneymoneysavingexpertcom,20211117,65+,Male
best_travel_camera_2021,20210919,65+,Male
exchange_rate_converter,20211205,25-34,Male
pound_euro,20210218,65+,Male
travel_money,20210922,55-64,Male
how_long_is_a_post_office_travel_card_valid_for,20210220,55-64,Female
post_office_that_takes_top_up_travel_money_in_doncaster,20210809,65+,Male
shall_pay_tax_on_money_received_from_oversea,20211203,NULL,Male
travel_money,20210318,55-64,Male
hifxbritline,20211217,65+,Male
who_is_the_best_travel_insurance_company,20210921,65+,Male
