query,date,age,gender
holiday_insurance_covering_coronavirus_for_73_year_old,20220111,35-44,Male
is_guernsey_in_uk_for_travel_insurance,20210910,45-54,Female
admiral_insurance,20210906,65+,Male
cheap_usa_travel_insurance_martin_lewis,20210817,65+,Female
coverwise_travel_insurance,20210629,55-64,Female
leisure_guard_travel_insurance,20210208,65+,Female
tesco_travel_ins,20211031,65+,Female
travel_insurance_for_over_70,20211116,NULL,Male
which_covid_holiday_travel_cover,20210823,65+,Female
aviva_travel_insurance,20211020,55-64,Male
can_i_cover_a_higher_price_holiday_on_travel_insurance,20220105,NULL,NULL
travel_insurance,20210829,55-64,NULL
travel_insurance_for_dubai,20210909,45-54,Female
axa_thailand_travel_insurance,20211203,NULL,Male
best_covid_travel_insurance_uk,20210607,45-54,Female
multitrip,20210905,55-64,Male
puffin_travel_insurance,20210809,65+,Male
puffin_travel_insurance,20220120,65+,Male
travelsupermarket,20220119,65+,Female
aa_insurance,20211130,55-64,Female
aviva_travel_insurance_for_over_70,20220128,65+,Male
best_travel_insurance_from_the_uk,20220124,45-54,Female
coverwise_travel_insurance,20210828,NULL,Female
holiday_let_insurance_thatched_roof,20210520,45-54,Male
insure_with_travel_insurance,20210520,65+,Male
martin_lewis_travel_insurance,20210311,65+,Male
american_express_platinum_card_have_they_changed_the_maximum_age_for_insurance,20210609,65+,Male
best_travel_insurance_covid_cover,20210824,45-54,Male
covid_travel_insurance,20220119,NULL,Female
get_going_holiday_insurance_with_medical_conditions,20220122,NULL,NULL
travel_update,20211006,35-44,Female
how_to_upload_a_new_travel_claim_to_axa_travel,20210928,55-64,Female
nationwide_uk_trave_insurance,20220117,65+,Male
post_office_travel_insurance_reviews,20210919,35-44,NULL
travelinsuranceforlongcancer,20210831,65+,Male
when_to_start_travel_insurance_cover,20211228,55-64,Female
worldwide_travel_insurance,20210730,45-54,Male
just_travel_holiday_insurance,20210224,65+,Male
post_office_travel_insurance,20210713,NULL,Female
stay_sure,20210502,65+,Female
travel_insurance_coverwise,20211202,65+,Male
best_multi_trip_annual_travel_insurance_to_cover_60_days_any_trip_to_us,20211001,65+,Male
martin_lewis_best_holiday_insurance,20220109,NULL,NULL
oul_direct_travel_insurance_heart_attack,20210320,45-54,NULL
travel_insurance_for_over_70,20220129,55-64,Male
travel_insurance_for_over_75s,20210809,65+,Male
travel_insurance_full_covid_cover,20211026,65+,Male
wwwlloydsbankavatravelinsurancecom,20210914,65+,Male
60_day_holiday_insurance_with_medical_conditions,20210920,65+,NULL
covid_tests_for_holidays,20210511,65+,Male
handlesbanken_bank_accounts_with_travel_insurance,20210827,65+,Male
which_insurers_will_give_cruise_cover_and_covid_covering,20210220,65+,Female
wwwnationwidecouk,20220119,65+,Male
aa_insurance_services,20211213,65+,Male
abta_travel_sure,20211215,45-54,Female
copd_and_long_haul_flights_insurance,20210403,65+,Male
coronavirus_latest,20211006,65+,Male
fcdo_cancellation_cover,20210518,45-54,NULL
free_spirit_travel_insurance_promo_code,20210225,65+,Male
holiday_insurance_for_holidays_in_the_uk,20220118,65+,Male
nationwide_travel_insurance_for_senior_citizens,20211009,65+,Male
puffin_travel_insurance,20220118,65+,Male
coverwise_travel_insurance,20210921,65+,Male
puffin_insurance,20211222,25-34,NULL
travel_insurance_for_amber_countries,20210719,55-64,NULL
eurotunnel_insurance_with_preexisting_medical,20211119,65+,Male
holliday_home_insurance_spain,20211022,55-64,Male
nationwide_flex_plus_covid_cover,20211119,65+,Male
travel_insurance_for_amber_countries,20210621,65+,Male
travel_insurance_for_over_70,20211011,65+,Male
when_to_start_travel_insurance,20220124,45-54,Female
klm_travel_travel_insurance_with_medical_conditions,20220123,55-64,Male
travel_insurance,20211021,NULL,Male
best_holiday_insurance,20210823,65+,Male
which_travel_insurance,20210906,65+,Female
wwwavivacoukhsbctravel,20220107,NULL,NULL
family_yearly_travel_insurance,20220130,45-54,NULL
more_than_travel_insurance,20210525,65+,Female
trainline_insurance,20220104,65+,Female
aviva_travel_insurance,20210621,55-64,Female
blue_cross_travel_insurance,20210508,35-44,Female
travel_insurance_from_aviva_insurance,20210326,65+,Male
will_my_travel_cover_my_daughter_if_we_cant_travel_back_from_spain_because_she_fails_covid_test,20210510,65+,Female
aa_insurance,20210929,65+,Female
aa_insurance,20220121,65+,Female
lloyds_bank_travel_insurance_does_it_include_a_cruise_ship,20211130,65+,Female
natwest_travel_isurance,20210317,65+,NULL
travel_insurance,20210809,65+,Female
travel_insurance_with_medical_conditions,20211207,NULL,Female
caspian_insurance,20210626,65+,Male
medical_travel_insurance,20220131,65+,Male
which_is_best_travel_insurance_cover_for_covid,20211119,25-34,Male
aig_holiday_insurance_company,20210706,65+,Male
annual_travel_insurance_worldwide,20210825,55-64,Male
health_travel_insurance_to_fly_with_ms,20211220,35-44,Female
nationwide_travel_insurance_with_flex_account,20211128,65+,Male
rias,20220120,65+,Male
rias_car_insurance,20210421,65+,Male
avanti_travel_insurance,20210915,65+,Male
best_price_travel_insurance,20210924,65+,Female
travel_insurance_and_amber_country_rules,20210611,45-54,Female
travel_insurance_for_private_medical_treatment,20210316,45-54,Female
natwest_bank_accounts_with_travel_insurance,20210827,65+,Male
uk_travel_insurance_with_nationwide_building_society,20211129,65+,Female
www_aviva_couk_hsbctravelinsurancecoverproof,20210602,65+,Male
best_covid_travel_insurance_for_unvaccinated_children,20211110,45-54,Female
best_insurance_for_holidaycancellations,20210215,45-54,Female
best_travel_insureance_deals,20210820,65+,Female
do_you_have_to_haveprivate_insurance_to_get_on_a_plane,20211008,65+,Female
hsbc_travel_insurance_reference_aesasnlcletmd2_policy_login_number,20210602,65+,Male
leisure_guard_travel_insurance,20210901,65+,Female
nationwide_uk_insurance,20211115,65+,Male
travel_insurance_for_over_70,20210226,65+,Female
what_if_i_get_covid_on_holiday_in_malaga,20210713,65+,Female
which_travel_insurance_for_over_65,20210418,65+,Male
aviva_travel_insurance_quote,20210428,35-44,Male
holiday_insurance_compare,20211220,NULL,Male
rias_home_insurance,20210322,65+,Male
staysure_travel_insurance,20210315,65+,Male
travel_insurance_for_over_80_118_days_the_usa,20211220,65+,Male
travel_insurance_with_full_covid_cover,20211026,65+,Male
best_time_to_buy_travel_insurance,20220116,NULL,Male
can_i_get_free_travel_insurance_with_coop_bank,20220127,65+,Female
ski_insurance_europe,20220125,NULL,Female
ski_travel_insurance,20211126,45-54,Male
travel_insurance_with_covid_cover_comparison,20210201,NULL,Male
travel_insureance,20211111,65+,Female
walaa_insurance,20210811,NULL,Female
www_lloyds_travel_insurance,20210822,55-64,Male
does_travel_insurance_cover_hotel_quarantine,20210806,35-44,NULL
i_am_85_can_i_get_covid_insurance_on_a_holiday_to_abroad,20210905,65+,Male
ice_wwwriascouk,20210827,65+,Male
is_the_ehic_card_still_valid,20210408,65+,Male
leisure_guard_travel_insurance,20210807,45-54,Male
travel_insurance_uk,20211111,65+,Male
admiral_european_insurance_what_countries_are_covered,20210906,65+,Male
barclays_travel_pack_contact_number,20211231,25-34,Male
holiday_risk_travel_insurance,20210328,65+,Male
lloyds_bank_travel_insurance,20211027,65+,Male
lloydsbankavatravelinsurance,20210909,55-64,Female
puffin_insurance,20211008,NULL,Female
puffin_travel_insurance,20210721,65+,Female
travel_insurance_comparison,20210831,45-54,Female
travel_traffic_light_system,20210614,NULL,Female
tui,20210312,65+,Male
tui_travel_insurance,20210317,65+,Male
wwwavivacouktsbtravel,20220107,65+,Female
martin_lewis_website_holiday_insurance,20220119,65+,Male
rias_car_insurance,20210517,NULL,Male
travel_insurance_for_over_70_with_medical_conditions,20210205,65+,Female
guest_first_insurance,20211006,65+,Female
is_it_necessary_to_upgrade_my_lloyds_gold_account_travel_insurance,20211110,65+,Male
lloyds_bank_travel_insurance_claim_axa_insurance,20211201,65+,Female
top_dog_holiday_insurance,20210812,65+,Male
travel_insurance_with_covid_cover,20220123,65+,Male
uk_holiday_insurance_cancellation,20210721,35-44,Female
coronavirus_only_travel_insurance,20220118,55-64,Female
covid_travel_insurance_tblisi,20211212,45-54,Male
holiday_insurance_including_cruise_and_covid_cover,20211018,55-64,Male
motorcycle_travel_insurance_abroad,20220109,55-64,Female
aviva_travel_insurance,20211003,65+,Female
coronavirus_lockdown_travel_insurance,20210418,NULL,Female
current_accounts_with_travel_insurance,20211012,65+,Male
lloyds_axa_insurancecom,20211027,65+,Female
rias,20210914,65+,Male
travel_insurance,20210503,65+,Male
aviva_annual_travel_insurance,20210519,65+,Male
is_travel_insurance_to_amber_list_country_void_due,20210523,55-64,Male
lve_travel_insurance,20211110,65+,Male
travel_insurance_with_medical_conditions,20210902,55-64,Female
covid_travel_insurance_singapore,20211107,65+,Male
diving_insurance,20211212,15-24,Female
martin_lewis_holiday_insurance_comparison_site,20210923,65+,Male
reviews_nationwide_travel_insurance,20210731,65+,Male
southall_travel_insurence_toindia,20211016,65+,Male
travel_insurance,20210423,65+,Female
can_you_ger_travel_insurance_for_covid_19,20211225,65+,Male
covid_self_isolation_insurance,20210726,15-24,Female
how_to_choose_the_best_travel_insurance_over_70,20210731,65+,Female
lv_travel_insurance,20211003,65+,Female
puffin_travel_insurance,20210912,65+,Male
travel_insurance_comparison,20211208,65+,Male
annual_travel_insurance_for_over_65,20211013,65+,Male
axa_travel_insurance,20210528,55-64,Female
euro_p_assistance_travel_insurance,20211125,65+,Male
insurance_cove_needed_for_uk_cruises_2021,20210808,65+,Female
lloydsbanktravelinsurance,20211201,65+,Female
sagacouktravelinsurance,20211007,65+,Male
what_is_commercial_travelling,20210503,45-54,Male
amber_travel,20210707,45-54,Male
aviva_travel_insurance,20210802,NULL,Male
do_l_need_travel_insurance_for_devon,20210426,55-64,Female
factor_v_laden_holiday_insurance,20210930,NULL,Female
halifax_holiday_insurance,20220124,65+,Male
rias_car_insurance,20210522,65+,Male
travel_insurance_for_cancer_patients,20220115,65+,Male
companies_who_offer_ukone_day_trip_insurance,20220127,55-64,Male
insure_and_go_travel_insurance,20210429,35-44,NULL
leisure_guard_travel_insurance,20210514,55-64,Female
membershipbenefitsnatwestcom,20211220,65+,Male
travel_insurance_companies,20220123,65+,Male
travel_insurance_for_childen_traveling_with_grandparents,20210723,45-54,Male
which_travel_insurance,20220103,55-64,Male
zurich_travel_insurance,20211011,45-54,Female
aa_insurance,20220116,NULL,Female
best_annual_insurance,20211228,55-64,Female
compare_the_market,20210721,65+,Male
customer_service_email_for_admiral_travel_insurace,20210827,45-54,Female
lloydsbankaxatravelinsurancecom,20210902,65+,Female
rias_uk,20211116,35-44,Female
travel_insurance,20211113,65+,Female
travel_insurance_which,20211122,65+,Male
health_insurance_comparison,20210718,65+,Male
ill_health_travel_insurance,20220104,45-54,Male
m_s_travel_insurance_does_it_include_covid,20210727,65+,Male
nationwide_flex_account_travel_insurance,20210930,65+,Male
post_office_travel_insurance,20211028,65+,Male
postofficecouktravel,20210805,65+,Male
which_on_holiday_covid_insurance,20210615,55-64,Male
best_and_chespest_covid_insurance_that_allows_entry_to_thailand,20211107,55-64,Male
coverwise,20210305,35-44,Female
insurance_for_cocid,20210515,65+,Male
insure_and_go,20210510,65+,Female
rias_insurance,20210715,65+,Male
puffin_travel_insurance_reviews,20211206,65+,Female
travel_insurance,20210813,65+,Female
travel_insurance_comparison,20210521,65+,Male
travel_insurance_criteria_flexaccount,20210721,NULL,Male
best_travel_insurance_for_covid_cover,20211127,NULL,NULL
natwest_travel_insurance_contact_number,20210225,65+,Male
rias_insurance,20211115,25-34,Male
aviva_travel_insurance_quote,20220112,65+,Male
coverwise_travel_insurance,20211016,65+,Female
dangerous_travel_insurance_companies,20210617,45-54,Female
leisure_guard_travel,20210214,65+,NULL
myriascouk,20211101,65+,Male
nationwideukitravelcom,20211022,65+,Male
travel_insurance_with_passport_cover,20210819,NULL,Female
axa_travel_insurance,20210709,45-54,Male
lloyds_bank_platimum_proof_of_travel_insurance,20211115,65+,Male
moneysavingexperttravel_insurancetravel_insurance_comparison_for_over_70,20210513,65+,Male
ryanair_holiday_insurance_reviews,20211114,65+,Male
travel_insurance_from_nigeria_to_uk,20210413,45-54,Female
puffin_insurance,20220110,65+,NULL
thailand_covid_insurance,20211028,65+,Male
travel_insurance,20210712,NULL,Male
travelinsurance_lv_review,20210518,65+,Female
is_staysure_better_than_aviva,20210801,65+,Male
lloydsbanktravelinsurance,20211129,65+,Female
staysure_travel_insurance,20210519,55-64,Female
travel_insurance,20211106,55-64,Male
which,20220116,65+,Male
allianz_assistance_hub,20220119,65+,Female
best_for_travel_insurance,20220112,45-54,Male
covid_travel_insurance_kuwait,20220125,NULL,Male
holiday_no_pcr_test,20210912,45-54,Female
insurance_against_cancellation_due_to_covid,20220112,55-64,Male
nationwide_travel_insurance,20220109,65+,Male
nationwide_travel_insurance,20220124,65+,Female
traval_insurance,20220106,65+,Female
travel_insurance,20210710,55-64,Female
travel_insurance,20210914,65+,Female
british_airways_travel_insurance_uk,20210719,55-64,Male
brokersure_travel_insurance,20210219,55-64,Male
cover_wise_insurance,20210910,45-54,Female
go_compare_holiday_insurance_over_70,20210325,65+,Female
holiday_insurance_for_someone_who_has_cancer_how_much_is_it,20210922,45-54,Male
lloydsbankavatravelinsurancecom,20211220,65+,Male
ski_gap_year_insurance,20211108,45-54,Female
staysure_travel_insurance,20210809,65+,Female
travel_insurance,20210416,55-64,Female
travel_insurance_with_covid_19_cover,20211016,45-54,Male
cruise_travel_insurance,20210904,35-44,Female
mrprakantravelinsuranceforover70,20210914,65+,Male
telegraphcoukttinsurance,20220122,65+,Female
travel_insurance_for_over_65,20220110,35-44,Male
traveling_spainmotorbike,20210710,NULL,Male
virgin_money_travel_insuarance,20210606,NULL,Female
annual_travel_insurance,20210829,65+,Male
aviva_travel_insurance,20210324,65+,Female
campbell_irvine,20210330,65+,Male
holiday_insurance_pre_existing_medical,20220122,65+,Female
travel_insurance,20211012,45-54,Male
covid_pass_not_getting_the_option_to_clik_on_travel,20211222,25-34,Male
holidaysafe,20220109,65+,Male
nationwide_couk_travel_insurance,20220124,NULL,NULL
paying_too_much_travel_insurance,20220125,65+,Female
people_who_travel_with_no_travel_insurance,20211018,35-44,Female
rough_guide_travel_insurance,20211221,55-64,Male
alpha_travel_insurance,20211227,NULL,Male
axa_travel_insurance,20210602,15-24,NULL
covid_19_travel_cover_for_66_year_olds,20210218,65+,Male
covid_travel_insurance_to_uae,20210510,65+,Male
natwest_account_travel_insurance,20211009,35-44,Male
if_i_travel_to_spain_will_my_travel_insurance_be_valid,20210521,65+,Female
is_tesco_travel_insurance_any_good,20210801,65+,Male
nationwide_building_scocity_travel_insurance,20211216,45-54,Male
travel_insurance,20210219,65+,Male
which_uk_credit_card_comes_with_travel_insurance,20211104,45-54,Female
advanti_travel_insurance,20211014,65+,Male
best_travel_insurance,20211111,NULL,NULL
ergo_travel_insurance_claim_form,20210827,65+,Male
nationwide_building_society_flex_account_travel_insurance,20211126,NULL,NULL
wwwavivacoukhsbc_travel,20210322,65+,Male
does_holiday_insurance_cover_coronavrus_cancellation,20210923,65+,Female
how_much_for_connecting_flight_cover,20210522,35-44,Female
aa_insurance,20211213,45-54,Female
arriva_travel_insurance,20220105,45-54,NULL
forgot_to_buy_travel_insurance,20211024,45-54,Female
travel_insurance_covering_cancellation_due_to_covid_restrictions,20210319,NULL,Female
barclays_holiday_insurance_with_current_account,20210614,65+,Female
egypt_to_pay_if_you_catch_coronavirus,20210902,65+,Male
lloyds_bank_travel_insurance_claim_axa,20211201,65+,Female
nationwide_flex_account_travel_insurance,20220107,65+,Female
mse_travel_insurance,20210824,55-64,Female
puffin_insurance,20210818,55-64,Male
rhias,20211227,65+,Male
travel_insurance_for_over_70,20210508,65+,Male
travel_insurance_for_over_70,20211121,65+,Male
wwweuropeiskeno,20210613,55-64,Male
aainsurance,20211209,65+,Male
does_pregnancy_count_as_medical_condition_for_travel_insurance,20220123,35-44,Female
holiday_insurance_for_88_yr_old_cancer_sufferer,20220113,NULL,NULL
nationwide_travel_insurance,20210804,65+,Male
travel_insurance,20211012,55-64,Female
travel_insurance_to_corfu,20210623,65+,Male
wwwbankofscotlandtravelinsurancecom,20211127,65+,Male
abta_travel_insurance,20220111,65+,Male
abta_travel_sure_insurance,20220111,65+,Male
cheap_travel_insurance_for_over_70s,20220112,65+,Male
coverwise_travel_insurance,20220126,NULL,Male
holiday_insurance_martin_lewis,20211010,55-64,Male
insurance_for_hire_car_excess,20211120,65+,Male
travel_insurance,20211014,65+,Male
travel_insurance,20211031,65+,Female
axa_private_banking_insurance,20210326,65+,Male
morethan_com,20210825,55-64,Male
booking_travel_insurance_which_magazine,20211108,NULL,NULL
do_i_need_to_disclose_routine_blood_tests_to_travel_insurance,20211013,45-54,Female
holiday_insurance,20210503,65+,Male
login_to_lloyds_gold_travel_insurance,20210711,65+,Female
travel_insurance,20211003,65+,Female
ca_i_go_abroad_on_hiliday_if_i_have_cancer,20220119,55-64,Female
holiday_insurance_for_over_70s,20210901,65+,Male
nationwide_travel_insurance_with_flex_account,20210724,65+,Female
over_80_single_trip_151_days_flights_to_usa,20211219,65+,Male
aviva_travel_insurance_uk,20220115,65+,Male
ehic_insurance_company_reviews,20210928,65+,Female
holiday_safe_travel_insurance_reviews,20210928,65+,Female
when_shall_i_buy_annual_travel_insurance,20210322,45-54,Male
aa_insurance,20211223,55-64,Male
churchill_travel_insurance_including_covid_19,20211225,55-64,Female
covid_19_health_insurance_for_uk_travelers_holidays_to_portugal,20210917,35-44,Male
egypt_travel_advice,20210422,55-64,Male
holiday_insurance,20211117,NULL,Male
natwest_platinum_travel_insurance,20211113,65+,Male
travel_insurance_canada,20211109,NULL,NULL
uk_insurers_that_cover_morocco,20210411,35-44,Male
uk_travel_insurance,20210630,65+,Male
covid_19_holiday_insurance,20211213,NULL,Male
travel_insurance_comparison_sites_uk,20211129,65+,Male
best_travel_insurance_reviews_uk,20220119,55-64,Female
does_travel_insurance_cover_holidays_booked_before_policy_taken_out,20210508,65+,Male
hm_gov_traffic_lights_travel,20210614,65+,Male
saga_select_travel_insurance,20220107,55-64,NULL
spanish_tourist_insurance_free,20210911,55-64,Female
travel_insurance,20210925,65+,Female
holiday_insurance_at_nat_west,20210722,65+,Male
holiday_insurance_with_motorbility,20210731,65+,Female
rias_insurance,20210716,65+,Male
ryanair_holiday_insurance_review,20210915,65+,Male
second_home_insurance,20210419,55-64,Female
travel_insurance_for_over_65,20210802,65+,Male
travel_insurance_international,20210511,NULL,Male
barclays_travel_pack_contact_number,20211124,65+,Female
european_travel_insurance_medical_only,20210813,65+,Male
nationwideflexplus_travel_insurance_covid,20220106,65+,NULL
post_office_travel_insurance,20220115,NULL,Female
rais_insurance,20210318,65+,Male
staysure_travel_insurance,20210827,65+,Male
travel_insurance_comparison,20211002,65+,Female
alpha_holiday_insurance,20210906,65+,Male
credit_cards_that_offer_worldwide_insurance_in_uk,20211024,45-54,Female
explorer_travel_insurance,20210827,65+,Male
travel_insurance_4_medical,20210730,45-54,Female
travel_insurance_companies,20211202,35-44,NULL
travel_insurance_for_over_65,20211031,55-64,Male
travel_insurance_for_preexisting_medical_conditions_with_covid_cover,20210801,55-64,Male
car_insurance_companies,20210311,65+,Female
cheap_travel_insurance_with_medical_conditions,20210727,55-64,Male
covid_travel_insurance,20210726,35-44,Female
jet_2_holiday_insurance,20210811,45-54,Male
lockdown_travel_insurance,20210505,65+,Male
travel_insurance_for_over_70,20210223,65+,Female
travel_insurance_with_covid_cover,20210914,65+,Female
uk_travel_insurance_quote,20210813,55-64,Male
will_my_travel_insurance_pay_for_enforced_hotel_quaratine,20211127,55-64,Female
best_travel_insurance_from_the_uk_2022,20220124,45-54,Female
do_i_need_travel_insurance_for_uk_holidays,20220131,55-64,Male
holiday_insurance,20220117,45-54,Female
holiday_insurance,20220128,65+,Male
leisure_guard_travel_insurance,20211123,65+,Male
lloyds_bank_ava_travel_insurance,20210929,65+,Female
lloydsbankavatravelinsurance,20211116,65+,Male
nationwide_btravel_insurance_copy_nof_policy,20211109,65+,Female
rias,20210606,65+,Male
coverwise_travel_insurance,20211016,55-64,Male
fco_advice_travel_insurance,20211129,65+,Male
hayes_travel,20210324,55-64,Female
rias,20210612,55-64,Male
travel_insurance_for_over_70,20210308,65+,Male
avanti_insurance_discount_code_uk_2022_online,20220121,65+,Male
theaacomcarinsurancebuy,20211218,55-64,Male
coverwise_travel_insurance,20210821,45-54,Female
if_you_live_in_the_uk_why_should_you_book_travel_insurance_if_holidaying_in_uk,20220104,NULL,NULL
saga_select_travel_insurance,20210921,65+,Male
staysure_travel_insurance_any_good,20210806,55-64,Male
uk_insurance_nationwide,20220117,65+,Female
aa_insurance_services,20211218,55-64,Male
best_travel_insurance_with_covid,20211125,45-54,Male
lv_travel_insurance,20211124,65+,Male
monzo_holiday_insurance,20220122,NULL,Male
natwest_bank_accounts_with_holiday_insurance,20210305,65+,Male
puffin_insurance_phone_number,20211029,65+,Female
rias_car_insurance,20211026,NULL,Male
riaz_insurance,20211022,65+,Male
wwwavivaukbarclaystravel,20210827,65+,Female
aa_insurance,20211221,35-44,Female
axa_travel_insurance_for_over_65,20220127,NULL,NULL
cheap_travel_insurance,20211028,65+,Male
coverwise_travel_insurance,20210827,65+,Male
covid_travel_insurance,20210723,55-64,Female
lloyds_bankavatravelinsurancecom,20220131,65+,Male
rac_travel_insurance_reviews,20220119,55-64,Female
rias,20210308,65+,Female
travel_insurance_to_amber_list_countries,20210606,55-64,Male
travel_insurance_with_covid_cover,20210909,65+,Male
marks_and_spencer_travel_insurance,20211001,NULL,Male
rias,20211111,45-54,Male
rias_insurance,20211230,45-54,Male
saga_insurance_reviews,20211109,65+,Male
travel_insurance_covid_19,20210612,45-54,Male
wwwvergotravelinsurancecoukcoach,20210714,65+,Male
covid_travel_insurance_cover,20210902,65+,Male
guest_insurance,20210913,45-54,Female
lloydsbankavatravelinsurancecom,20210919,55-64,Female
martin_lewis_best_travel_insurance,20211026,65+,Male
wwwavantitravelinsurancecoukawaitingsurgery_travelinsurance,20210923,65+,Female
as_travel_insurance,20220117,55-64,NULL
can_i_claim_a_refund_on_travel_insurance,20210310,65+,Male
rias_insurance,20210407,65+,Male
travel_insurance,20210910,65+,Male
axa_insurance_travel,20211031,65+,Male
barclays_premier_card_travel_insurance_terms,20220112,55-64,Female
lloydsbankavatravelinsurance,20210829,65+,Female
best_holiday_insurance_with_covid_cover,20210719,55-64,Male
churchill_travel_insurance_quotes,20211212,65+,Female
how_to_get_juust_covid_19_travel_ins_for_uk_citizens,20211222,65+,Male
stories_of_people_who_travel_without_travel_insurance,20211018,35-44,Female
ukraine_international_airlines_travel_insurance,20210715,65+,Male
can_you_move_travel_insurance,20210216,65+,Male
coverwise,20210926,35-44,Male
does_anxiety_tachicardia_affect_holiday_insurance,20211104,55-64,Male
does_pregnanct_count_as_medical_condition_for_travel_insurance,20220123,35-44,Female
getting_holiday_insurance_covid,20210806,55-64,Female
holiday_insurance,20211102,65+,Male
which_covid_travel_insance,20210831,55-64,Female
covidinscom,20210721,45-54,Male
jet_2_covid_cover,20211030,25-34,NULL
puffin_travel_insurance,20220121,55-64,Female
when_will_i_be_able_to_travel_to_usa_from_uk,20210514,65+,Male
coverwise_insurance,20211215,25-34,Male
covid19_insurance_cover,20210513,65+,Female
travel_insurance_uk,20220124,45-54,Female
worldwide_travel_insurance_for_over_70s,20211121,65+,Male
axa_sawasdee_thailand,20211108,55-64,Male
coverwise,20220102,45-54,Female
european_travel_insurance_from_the_uk_to_europe,20211005,45-54,Male
lv_travel_insurance_for_over_65,20210814,65+,NULL
travel_insurers_wwho_will_cover_covid,20220124,65+,Male
whats_the_best_policy_to_cover_my_holiday_in_the_uk_incase_i_have_to_cancel,20210210,65+,Female
hays_travel_insurance,20210828,65+,Male
holiday_insurance_to_cover_redlisting_of_a_country_by_government,20211206,65+,Male
ibex_insurance_uk,20210706,65+,Male
motorcycle_travel_insurance,20220109,55-64,Female
tesco_travel_insurance,20210527,55-64,Male
travel_insurance_and_amber_country,20210611,45-54,Female
travel_insurance_with_undiagnosed_medical_conditions,20210812,65+,Female
emirates_insurance,20211227,65+,Female
marks_and_spencer_premier_club_travel_insurance,20210418,65+,Female
moneysupermarket_travel_insurance,20210825,65+,Male
nationwide_travel_insurance_for_senior_citizens,20211001,65+,Male
travel_insurance_for_over_65,20210825,65+,Female
battleface_insurance,20210524,55-64,Female
lv_travel_insurance,20211208,65+,Male
marksandspencers_new_premier_club_with_travel_insurance,20210506,65+,Female
martin_lewis_money_saving_expert_travel_insurance,20210922,65+,Female
staysure_travel_insurance_cruises_over_65,20211019,65+,Male
supportcentrenatwestcomtravelinsurance,20210312,65+,Female
will_my_car_insurance_be_valid_if_i_travek_to_france,20210615,65+,Male
wwwriascouk,20211201,65+,Male
annual_travel_insurance_with_covid,20210508,65+,Female
avanti_travel_insurance_disount_code,20210806,55-64,Female
blue_bear_travel_insurance,20210928,65+,NULL
puffin_insurance_travel,20220123,65+,Male
